00:57:09.921 WARN  ~~ LOOPS: 15. ENTITY #: 1361//903. VIEW #: 2. BACKLOGGED :: 107.200%! ~~ 
00:57:09.922 WARN  Total activation time: 85 
00:57:09.922 WARN  Total collision time: 128 
00:57:09.922 WARN  Total cycle time: 323 
00:57:09.922 WARN  Total player update time: 90 
00:57:09.922 WARN  Total lb+minimap processing time: 22 
00:57:09.922 WARN  Total entity physics calculation time: 9 
00:57:09.922 WARN  Total entity life+thought cycle time: 123 
00:57:09.922 WARN  Total entity selfie-taking time: 30 
00:57:09.922 WARN  Total time: 810 
00:57:11.014 WARN  ~~ LOOPS: 14. ENTITY #: 1406//965. VIEW #: 2. BACKLOGGED :: 127.500%! ~~ 
00:57:11.014 WARN  Total activation time: 73 
00:57:11.014 WARN  Total collision time: 163 
00:57:11.014 WARN  Total cycle time: 359 
00:57:11.014 WARN  Total player update time: 99 
00:57:11.014 WARN  Total lb+minimap processing time: 24 
00:57:11.014 WARN  Total entity physics calculation time: 11 
00:57:11.014 WARN  Total entity life+thought cycle time: 109 
00:57:11.014 WARN  Total entity selfie-taking time: 21 
00:57:11.014 WARN  Total time: 859 
00:57:12.092 WARN  ~~ LOOPS: 13. ENTITY #: 1513//1022. VIEW #: 2. BACKLOGGED :: 134.538%! ~~ 
00:57:12.092 WARN  Total activation time: 84 
00:57:12.092 WARN  Total collision time: 163 
00:57:12.092 WARN  Total cycle time: 336 
00:57:12.092 WARN  Total player update time: 94 
00:57:12.092 WARN  Total lb+minimap processing time: 33 
00:57:12.092 WARN  Total entity physics calculation time: 12 
00:57:12.092 WARN  Total entity life+thought cycle time: 114 
00:57:12.092 WARN  Total entity selfie-taking time: 23 
00:57:12.092 WARN  Total time: 859 
00:57:13.171 WARN  ~~ LOOPS: 13. ENTITY #: 1566//1075. VIEW #: 2. BACKLOGGED :: 148.154%! ~~ 
00:57:13.171 WARN  Total activation time: 81 
00:57:13.171 WARN  Total collision time: 182 
00:57:13.171 WARN  Total cycle time: 379 
00:57:13.171 WARN  Total player update time: 117 
00:57:13.171 WARN  Total lb+minimap processing time: 32 
00:57:13.171 WARN  Total entity physics calculation time: 15 
00:57:13.172 WARN  Total entity life+thought cycle time: 146 
00:57:13.172 WARN  Total entity selfie-taking time: 15 
00:57:13.172 WARN  Total time: 967 
00:57:14.248 WARN  ~~ LOOPS: 12. ENTITY #: 1552//1121. VIEW #: 2. BACKLOGGED :: 151.500%! ~~ 
00:57:14.248 WARN  Total activation time: 77 
00:57:14.248 WARN  Total collision time: 164 
00:57:14.248 WARN  Total cycle time: 365 
00:57:14.248 WARN  Total player update time: 128 
00:57:14.248 WARN  Total lb+minimap processing time: 36 
00:57:14.249 WARN  Total entity physics calculation time: 14 
00:57:14.249 WARN  Total entity life+thought cycle time: 113 
00:57:14.249 WARN  Total entity selfie-taking time: 34 
00:57:14.249 WARN  Total time: 931 
00:57:15.288 WARN  ~~ LOOPS: 11. ENTITY #: 1706//1165. VIEW #: 2. BACKLOGGED :: 173.182%! ~~ 
00:57:15.289 WARN  Total activation time: 73 
00:57:15.289 WARN  Total collision time: 177 
00:57:15.289 WARN  Total cycle time: 385 
00:57:15.289 WARN  Total player update time: 128 
00:57:15.289 WARN  Total lb+minimap processing time: 35 
00:57:15.289 WARN  Total entity physics calculation time: 5 
00:57:15.289 WARN  Total entity life+thought cycle time: 117 
00:57:15.289 WARN  Total entity selfie-taking time: 41 
00:57:15.289 WARN  Total time: 961 
00:57:16.367 WARN  ~~ LOOPS: 10. ENTITY #: 1727//1245. VIEW #: 2. BACKLOGGED :: 199.800%! ~~ 
00:57:16.367 WARN  Total activation time: 80 
00:57:16.367 WARN  Total collision time: 219 
00:57:16.367 WARN  Total cycle time: 367 
00:57:16.367 WARN  Total player update time: 119 
00:57:16.367 WARN  Total lb+minimap processing time: 44 
00:57:16.367 WARN  Total entity physics calculation time: 12 
00:57:16.367 WARN  Total entity life+thought cycle time: 121 
00:57:16.367 WARN  Total entity selfie-taking time: 27 
00:57:16.367 WARN  Total time: 989 
00:57:17.431 WARN  ~~ LOOPS: 10. ENTITY #: 1576//1258. VIEW #: 2. BACKLOGGED :: 205.200%! ~~ 
00:57:17.432 WARN  Total activation time: 82 
00:57:17.432 WARN  Total collision time: 247 
00:57:17.432 WARN  Total cycle time: 355 
00:57:17.432 WARN  Total player update time: 115 
00:57:17.432 WARN  Total lb+minimap processing time: 48 
00:57:17.432 WARN  Total entity physics calculation time: 9 
00:57:17.432 WARN  Total entity life+thought cycle time: 122 
00:57:17.432 WARN  Total entity selfie-taking time: 15 
00:57:17.432 WARN  Total time: 993 
00:57:18.475 WARN  ~~ LOOPS: 14. ENTITY #: 1129//909. VIEW #: 2. BACKLOGGED :: 121.714%! ~~ 
00:57:18.475 WARN  Total activation time: 67 
00:57:18.475 WARN  Total collision time: 156 
00:57:18.475 WARN  Total cycle time: 345 
00:57:18.475 WARN  Total player update time: 109 
00:57:18.475 WARN  Total lb+minimap processing time: 25 
00:57:18.475 WARN  Total entity physics calculation time: 12 
00:57:18.475 WARN  Total entity life+thought cycle time: 83 
00:57:18.475 WARN  Total entity selfie-taking time: 16 
00:57:18.475 WARN  Total time: 813 
00:57:24.620 WARN  ~~ LOOPS: 16. ENTITY #: 1045//804. VIEW #: 2. BACKLOGGED :: 100.313%! ~~ 
00:57:24.620 WARN  Total activation time: 76 
00:57:24.620 WARN  Total collision time: 177 
00:57:24.620 WARN  Total cycle time: 282 
00:57:24.620 WARN  Total player update time: 82 
00:57:24.620 WARN  Total lb+minimap processing time: 21 
00:57:24.620 WARN  Total entity physics calculation time: 10 
00:57:24.620 WARN  Total entity life+thought cycle time: 61 
00:57:24.620 WARN  Total entity selfie-taking time: 28 
00:57:24.620 WARN  Total time: 737 
00:58:11.132 WARN  ~~ LOOPS: 15. ENTITY #: 1448//623. VIEW #: 2. BACKLOGGED :: 105.200%! ~~ 
00:58:11.133 WARN  Total activation time: 82 
00:58:11.133 WARN  Total collision time: 173 
00:58:11.133 WARN  Total cycle time: 271 
00:58:11.133 WARN  Total player update time: 128 
00:58:11.133 WARN  Total lb+minimap processing time: 32 
00:58:11.133 WARN  Total entity physics calculation time: 19 
00:58:11.133 WARN  Total entity life+thought cycle time: 140 
00:58:11.133 WARN  Total entity selfie-taking time: 29 
00:58:11.133 WARN  Total time: 874 
00:58:12.211 WARN  ~~ LOOPS: 15. ENTITY #: 1300//793. VIEW #: 2. BACKLOGGED :: 100.200%! ~~ 
00:58:12.211 WARN  Total activation time: 86 
00:58:12.211 WARN  Total collision time: 144 
00:58:12.211 WARN  Total cycle time: 271 
00:58:12.212 WARN  Total player update time: 126 
00:58:12.212 WARN  Total lb+minimap processing time: 30 
00:58:12.212 WARN  Total entity physics calculation time: 20 
00:58:12.212 WARN  Total entity life+thought cycle time: 79 
00:58:12.212 WARN  Total entity selfie-taking time: 19 
00:58:12.212 WARN  Total time: 775 
00:58:20.416 WARN  ~~ LOOPS: 12. ENTITY #: 1872//1170. VIEW #: 2. BACKLOGGED :: 145.000%! ~~ 
00:58:20.417 WARN  Total activation time: 76 
00:58:20.417 WARN  Total collision time: 182 
00:58:20.417 WARN  Total cycle time: 322 
00:58:20.417 WARN  Total player update time: 104 
00:58:20.417 WARN  Total lb+minimap processing time: 63 
00:58:20.417 WARN  Total entity physics calculation time: 19 
00:58:20.417 WARN  Total entity life+thought cycle time: 121 
00:58:20.417 WARN  Total entity selfie-taking time: 24 
00:58:20.417 WARN  Total time: 911 
00:58:21.498 WARN  ~~ LOOPS: 13. ENTITY #: 1606//1044. VIEW #: 2. BACKLOGGED :: 140.308%! ~~ 
00:58:21.498 WARN  Total activation time: 76 
00:58:21.498 WARN  Total collision time: 173 
00:58:21.498 WARN  Total cycle time: 359 
00:58:21.498 WARN  Total player update time: 123 
00:58:21.498 WARN  Total lb+minimap processing time: 51 
00:58:21.498 WARN  Total entity physics calculation time: 7 
00:58:21.498 WARN  Total entity life+thought cycle time: 80 
00:58:21.498 WARN  Total entity selfie-taking time: 29 
00:58:21.498 WARN  Total time: 898 
00:58:22.576 WARN  ~~ LOOPS: 14. ENTITY #: 1001//577. VIEW #: 2. BACKLOGGED :: 127.929%! ~~ 
00:58:22.577 WARN  Total activation time: 57 
00:58:22.577 WARN  Total collision time: 125 
00:58:22.577 WARN  Total cycle time: 415 
00:58:22.577 WARN  Total player update time: 58 
00:58:22.577 WARN  Total lb+minimap processing time: 21 
00:58:22.577 WARN  Total entity physics calculation time: 7 
00:58:22.577 WARN  Total entity life+thought cycle time: 73 
00:58:22.577 WARN  Total entity selfie-taking time: 15 
00:58:22.577 WARN  Total time: 771 
00:59:06.537 WARN  ~~ LOOPS: 15. ENTITY #: 1196//579. VIEW #: 2. BACKLOGGED :: 104.200%! ~~ 
00:59:06.537 WARN  Total activation time: 71 
00:59:06.537 WARN  Total collision time: 107 
00:59:06.537 WARN  Total cycle time: 343 
00:59:06.538 WARN  Total player update time: 113 
00:59:06.538 WARN  Total lb+minimap processing time: 31 
00:59:06.538 WARN  Total entity physics calculation time: 10 
00:59:06.538 WARN  Total entity life+thought cycle time: 69 
00:59:06.538 WARN  Total entity selfie-taking time: 20 
00:59:06.538 WARN  Total time: 764 
01:02:17.066 WARN  ~~ LOOPS: 11. ENTITY #: 1738//523. VIEW #: 1. BACKLOGGED :: 144.000%! ~~ 
01:02:17.066 WARN  Total activation time: 102 
01:02:17.066 WARN  Total collision time: 129 
01:02:17.066 WARN  Total cycle time: 297 
01:02:17.066 WARN  Total player update time: 45 
01:02:17.067 WARN  Total lb+minimap processing time: 213 
01:02:17.067 WARN  Total entity physics calculation time: 18 
01:02:17.067 WARN  Total entity life+thought cycle time: 137 
01:02:17.067 WARN  Total entity selfie-taking time: 15 
01:02:17.067 WARN  Total time: 956 
01:02:18.264 WARN  ~~ LOOPS: 11. ENTITY #: 1714//680. VIEW #: 1. BACKLOGGED :: 162.273%! ~~ 
01:02:18.264 WARN  Total activation time: 115 
01:02:18.264 WARN  Total collision time: 126 
01:02:18.264 WARN  Total cycle time: 354 
01:02:18.264 WARN  Total player update time: 66 
01:02:18.264 WARN  Total lb+minimap processing time: 200 
01:02:18.264 WARN  Total entity physics calculation time: 22 
01:02:18.264 WARN  Total entity life+thought cycle time: 94 
01:02:18.264 WARN  Total entity selfie-taking time: 29 
01:02:18.265 WARN  Total time: 1006 
01:02:19.455 WARN  ~~ LOOPS: 13. ENTITY #: 1491//521. VIEW #: 1. BACKLOGGED :: 120.231%! ~~ 
01:02:19.455 WARN  Total activation time: 96 
