15:14:36.783 WARN  Malformed command packet! Kicking. 
15:18:06.930 WARN  ~~ LOOPS: 15. ENTITY #: 766//372. VIEW #: 8. BACKLOGGED :: 103.400%! ~~ 
15:18:13.115 WARN  ~~ LOOPS: 15. ENTITY #: 781//406. VIEW #: 8. BACKLOGGED :: 102.600%! ~~ 
15:18:15.187 WARN  ~~ LOOPS: 15. ENTITY #: 785//420. VIEW #: 8. BACKLOGGED :: 105.800%! ~~ 
15:18:16.241 WARN  ~~ LOOPS: 15. ENTITY #: 791//423. VIEW #: 8. BACKLOGGED :: 101.200%! ~~ 
15:18:17.265 WARN  ~~ LOOPS: 15. ENTITY #: 764//410. VIEW #: 7. BACKLOGGED :: 103.400%! ~~ 
15:20:02.025 WARN  ~~ LOOPS: 14. ENTITY #: 775//449. VIEW #: 9. BACKLOGGED :: 103.714%! ~~ 
15:20:03.052 WARN  ~~ LOOPS: 14. ENTITY #: 770//447. VIEW #: 9. BACKLOGGED :: 108.000%! ~~ 
15:22:00.926 WARN  ~~ LOOPS: 15. ENTITY #: 700//377. VIEW #: 8. BACKLOGGED :: 120.000%! ~~ 
15:22:04.065 WARN  ~~ LOOPS: 15. ENTITY #: 677//377. VIEW #: 8. BACKLOGGED :: 101.400%! ~~ 
15:30:17.965 WARN  ~~ LOOPS: 10. ENTITY #: 679//291. VIEW #: 8. BACKLOGGED :: 183.600%! ~~ 
15:30:18.984 WARN  ~~ LOOPS: 10. ENTITY #: 682//298. VIEW #: 8. BACKLOGGED :: 159.000%! ~~ 
15:30:20.006 WARN  ~~ LOOPS: 11. ENTITY #: 677//294. VIEW #: 8. BACKLOGGED :: 154.091%! ~~ 
15:30:21.130 WARN  ~~ LOOPS: 12. ENTITY #: 669//283. VIEW #: 8. BACKLOGGED :: 132.000%! ~~ 
15:30:22.148 WARN  ~~ LOOPS: 12. ENTITY #: 666//273. VIEW #: 8. BACKLOGGED :: 123.250%! ~~ 
15:30:23.163 WARN  ~~ LOOPS: 12. ENTITY #: 669//268. VIEW #: 8. BACKLOGGED :: 149.500%! ~~ 
15:30:24.191 WARN  ~~ LOOPS: 13. ENTITY #: 681//274. VIEW #: 8. BACKLOGGED :: 137.077%! ~~ 
15:30:25.209 WARN  ~~ LOOPS: 12. ENTITY #: 694//286. VIEW #: 8. BACKLOGGED :: 125.000%! ~~ 
15:30:26.225 WARN  ~~ LOOPS: 11. ENTITY #: 688//300. VIEW #: 8. BACKLOGGED :: 142.364%! ~~ 
15:30:27.324 WARN  ~~ LOOPS: 13. ENTITY #: 680//293. VIEW #: 8. BACKLOGGED :: 117.462%! ~~ 
15:30:28.345 WARN  ~~ LOOPS: 9. ENTITY #: 650//264. VIEW #: 8. BACKLOGGED :: 166.000%! ~~ 
15:30:29.390 WARN  ~~ LOOPS: 13. ENTITY #: 638//258. VIEW #: 8. BACKLOGGED :: 129.462%! ~~ 
15:30:30.400 WARN  ~~ LOOPS: 12. ENTITY #: 634//252. VIEW #: 8. BACKLOGGED :: 125.750%! ~~ 
15:30:31.401 WARN  ~~ LOOPS: 12. ENTITY #: 638//250. VIEW #: 8. BACKLOGGED :: 108.750%! ~~ 
15:30:32.438 WARN  ~~ LOOPS: 13. ENTITY #: 639//250. VIEW #: 8. BACKLOGGED :: 138.000%! ~~ 
15:30:33.553 WARN  ~~ LOOPS: 14. ENTITY #: 643//252. VIEW #: 8. BACKLOGGED :: 103.714%! ~~ 
15:30:34.553 WARN  ~~ LOOPS: 11. ENTITY #: 645//258. VIEW #: 8. BACKLOGGED :: 126.273%! ~~ 
15:30:35.561 WARN  ~~ LOOPS: 12. ENTITY #: 653//262. VIEW #: 8. BACKLOGGED :: 150.000%! ~~ 
15:30:36.602 WARN  ~~ LOOPS: 12. ENTITY #: 659//271. VIEW #: 8. BACKLOGGED :: 133.500%! ~~ 
15:30:37.618 WARN  ~~ LOOPS: 12. ENTITY #: 656//277. VIEW #: 8. BACKLOGGED :: 139.250%! ~~ 
15:30:38.737 WARN  ~~ LOOPS: 12. ENTITY #: 663//279. VIEW #: 8. BACKLOGGED :: 124.250%! ~~ 
15:30:39.768 WARN  ~~ LOOPS: 7. ENTITY #: 664//284. VIEW #: 8. BACKLOGGED :: 263.571%! ~~ 
15:30:40.789 WARN  ~~ LOOPS: 9. ENTITY #: 669//288. VIEW #: 8. BACKLOGGED :: 173.667%! ~~ 
15:30:41.822 WARN  ~~ LOOPS: 10. ENTITY #: 668//287. VIEW #: 8. BACKLOGGED :: 208.800%! ~~ 
15:30:42.941 WARN  ~~ LOOPS: 10. ENTITY #: 666//290. VIEW #: 8. BACKLOGGED :: 206.700%! ~~ 
15:30:43.969 WARN  ~~ LOOPS: 11. ENTITY #: 667//291. VIEW #: 8. BACKLOGGED :: 144.818%! ~~ 
15:30:44.991 WARN  ~~ LOOPS: 10. ENTITY #: 668//294. VIEW #: 8. BACKLOGGED :: 178.800%! ~~ 
15:30:46.019 WARN  ~~ LOOPS: 10. ENTITY #: 672//299. VIEW #: 8. BACKLOGGED :: 202.800%! ~~ 
15:30:47.133 WARN  ~~ LOOPS: 11. ENTITY #: 676//303. VIEW #: 8. BACKLOGGED :: 160.091%! ~~ 
15:30:48.161 WARN  ~~ LOOPS: 12. ENTITY #: 678//306. VIEW #: 8. BACKLOGGED :: 141.750%! ~~ 
15:30:49.183 WARN  ~~ LOOPS: 11. ENTITY #: 674//302. VIEW #: 8. BACKLOGGED :: 140.727%! ~~ 
15:30:50.214 WARN  ~~ LOOPS: 12. ENTITY #: 677//300. VIEW #: 8. BACKLOGGED :: 126.000%! ~~ 
15:30:51.333 WARN  ~~ LOOPS: 7. ENTITY #: 675//299. VIEW #: 8. BACKLOGGED :: 278.143%! ~~ 
15:30:52.356 WARN  ~~ LOOPS: 11. ENTITY #: 677//296. VIEW #: 8. BACKLOGGED :: 113.727%! ~~ 
